ƒŒÀ∆Õ€…;¡€“‹;1;0;1;0;5;1;1;2;1;1;2;2;1;0;1;3;3;0;2;0;1;1;1;2;0;0;2;0;1;0;0;1;1;1;1;0;1;0;4;0;3;1;1;2;0;1;2;0;0;1;0;2;2;2;1;1;1;1;0;0;1;0;0;2;0;0;0;0;0;0;3;2;1;0;0;1;1;1;0;0;0;2;2;1;4;1;1;3;0;7;0;2;1;1;1;0;1;0;0;0;1;
¬≈–’Œ¬Õ€…;-1;-1;0;2;0;2;1;0;0;2;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
—œ–Œ—»“‹;ﬂ;3;4;4;11;24;1;10;6;17;12;8;11;9;17;0;2;2;18;8;12;9;19;30;0;3;8;21;12;6;4;4;14;0;7;9;9;8;3;0;1;3;5;11;1;17;1;30;14;9;4;6;11;7;19;14;11;12;18;3;8;10;7;3;10;4;6;0;1;20;13;11;12;30;5;18;29;19;13;6;0;0;4;1;10;2;1;11;10;0;27;10;1;13;2;15;7;6;1;12;16;37;
Œ∆»ƒ¿ﬂ;-1;-1;1;2;0;2;0;4;1;3;5;0;2;1;1;0;3;3;3;0;1;4;2;3;1;1;1;2;0;5;1;1;0;0;1;1;0;0;0;0;0;1;1;6;0;0;0;2;3;0;0;0;0;1;1;4;0;0;1;0;8;5;0;1;6;0;1;0;1;4;2;1;4;4;2;4;2;0;2;0;0;0;5;2;2;1;0;0;2;0;0;1;0;0;0;3;3;1;1;0;0;1;
Œ— ¿À;-1;-1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;
Ã¿“≈Ã¿“»◊≈— »…;-1;-1;2;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;
–¿œŒ–“;-1;-1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;3;0;
‘¿ÿ»—“— »…;-1;-1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
—“”À;-1;-1;1;1;6;2;2;0;6;4;1;14;3;12;13;0;2;2;15;9;4;0;1;10;26;8;1;12;2;2;7;0;1;1;16;6;9;8;2;1;0;0;5;15;0;1;1;7;4;10;0;4;2;6;9;12;5;14;12;1;2;6;6;4;34;6;4;0;1;15;7;8;8;3;7;2;3;9;3;4;0;0;9;1;2;10;0;9;3;0;3;17;2;7;13;4;6;14;20;1;0;1;
ﬂ;À»÷Œ;4;6;3;19;19;0;15;17;8;20;9;13;13;11;0;9;9;11;6;4;17;8;15;1;3;6;11;0;8;12;7;2;0;17;7;3;3;9;3;1;10;4;11;0;3;1;13;22;3;2;7;10;18;10;8;4;9;7;4;5;9;1;3;11;13;10;0;15;14;17;5;5;11;10;11;8;10;5;4;0;1;6;16;15;11;0;24;23;0;4;12;0;0;1;11;30;4;1;6;3;14;
